region,year,group,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
"Russia, C. Asia, SE Europe",1996,8,3050,1817,3701.437,3961.757,3.079037
"Russia, C. Asia, SE Europe",2002,8,2695,1630,4417.634,5253.756,3.106701
"Russia, C. Asia, SE Europe",2008,8,3776.667,2086,5741.37,7216.12,3.181397
L. America & Carib.,1987,8,13315,6397,9201.202,8849.769,31.72913
L. America & Carib.,1993,8,10042.67,4843,5800.066,9569.573,33.98204
L. America & Carib.,1998,8,10034,4532,6583.661,10963.68,36.13464
L. America & Carib.,2003,8,7520,3219,5322.103,9263.68,38.00125
L. America & Carib.,2008,8,13464,6473,7599.457,13275.68,39.7143
"Russia, C. Asia, SE Europe",1998,8,1765.667,955,1694.034,2075.962,3.109101
"Russia, C. Asia, SE Europe",2003,8,1812,1008,2375.404,3262.446,3.060554
"Russia, C. Asia, SE Europe",2008,8,2618.333,1522,3614.783,5614.552,3.079087
Mature economies,1989,8,20862,11678,12463.27,23370.17,16.5322
Mature economies,1994,8,20265.67,11173,13253.52,24720.01,17.667
Mature economies,1999,8,21609,12063,15235.06,28877.69,18.711
Mature economies,2003,8,22594,12602,16728.13,31276.54,19.8954
Mature economies,1987,8,21337.67,14056,13816.97,23062.65,7.585317
Mature economies,1994,8,25012.67,14495,15840.17,26754.05,7.905633
Mature economies,2000,8,24650.67,14766,17465.32,31775.73,7.976789
Mature economies,2005,8,27559,16544,18419.38,33626.39,8.121423
Mature economies,2008,8,24270.67,14826,18829.55,36177.36,8.336926
"Russia, C. Asia, SE Europe",1995,8,1897,1047,656.687,1853.795,7.495
"Russia, C. Asia, SE Europe",2001,8,2514.667,1347,1149.084,2715.34,8.2341
"Russia, C. Asia, SE Europe",2008,8,4327.667,2413,3116.775,8023.568,8.7634
Sub-Saharan Africa,1992,8,558.3333,313,413.4468,701.5871,5.933293
Sub-Saharan Africa,1998,8,580.6667,292,236.4485,517.9593,6.223515
Sub-Saharan Africa,2006,8,627.6667,348,408.1823,496.7808,7.943385
Mature economies,1988,8,15334.33,9653,12459.34,23672.94,9.901664
Mature economies,1995,8,20326.67,12412,14120.99,26705.65,10.08448
Mature economies,2000,8,25971.33,14810,15594.79,30398.45,10.20301
Mature economies,2005,8,24105.67,14333,16103.71,32189.35,10.37613
Mature economies,2008,8,21476.33,13062,16623.21,33617.43,10.70997
Sub-Saharan Africa,2003,8,1216,633,868.2699,1354.895,7.164976
Sub-Saharan Africa,1994,8,1095.333,490,337.1974,688.7587,10.11863
Sub-Saharan Africa,1998,8,1063,500,462.8125,825.3719,11.62116
Sub-Saharan Africa,2003,8,1093.667,562,594.0314,944.9492,13.3956
Sub-Saharan Africa,2009,8,1313.667,674,640.683,1084.894,15.51526
Other Asia,1988,8,742,444,637.7204,723.0073,100.0623
Other Asia,1995,8,904.6667,503,679.7462,829.8447,112.6455
