region,year,group,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop
"Russia, C. Asia, SE Europe",1996,4,1586,1817,3701.437,3961.757,3.079037
"Russia, C. Asia, SE Europe",2002,4,1431.5,1630,4417.634,5253.756,3.106701
"Russia, C. Asia, SE Europe",2008,4,1668,2086,5741.37,7216.12,3.181397
L. America & Carib.,1987,4,4628.25,6397,9201.202,8849.769,31.72913
L. America & Carib.,1993,4,3520.75,4843,5800.066,9569.573,33.98204
L. America & Carib.,1998,4,3033.25,4532,6583.661,10963.68,36.13464
L. America & Carib.,2003,4,1951.25,3219,5322.103,9263.68,38.00125
L. America & Carib.,2008,4,4828.75,6473,7599.457,13275.68,39.7143
"Russia, C. Asia, SE Europe",1998,4,754,955,1694.034,2075.962,3.109101
"Russia, C. Asia, SE Europe",2003,4,801,1008,2375.404,3262.446,3.060554
"Russia, C. Asia, SE Europe",2008,4,1281,1522,3614.783,5614.552,3.079087
Mature economies,1989,4,9857.25,11678,12463.27,23370.17,16.5322
Mature economies,1994,4,9519.75,11173,13253.52,24720.01,17.667
Mature economies,1999,4,10020.25,12063,15235.06,28877.69,18.711
Mature economies,2003,4,10575,12602,16728.13,31276.54,19.8954
Mature economies,1987,4,13070.75,14056,13816.97,23062.65,7.585317
Mature economies,1994,4,12460.25,14495,15840.17,26754.05,7.905633
Mature economies,2000,4,12997.25,14766,17465.32,31775.73,7.976789
Mature economies,2005,4,14483.5,16544,18419.38,33626.39,8.121423
Mature economies,2008,4,13139,14826,18829.55,36177.36,8.336926
"Russia, C. Asia, SE Europe",1995,4,870.75,1047,656.687,1853.795,7.495
"Russia, C. Asia, SE Europe",2001,4,1055,1347,1149.084,2715.34,8.2341
"Russia, C. Asia, SE Europe",2008,4,1969.5,2413,3116.775,8023.568,8.7634
Sub-Saharan Africa,1992,4,257.75,313,413.4468,701.5871,5.933293
Sub-Saharan Africa,1998,4,223.5,292,236.4485,517.9593,6.223515
Sub-Saharan Africa,2006,4,272,348,408.1823,496.7808,7.943385
Mature economies,1988,4,8724,9653,12459.34,23672.94,9.901664
Mature economies,1995,4,11051.25,12412,14120.99,26705.65,10.08448
Mature economies,2000,4,12172.25,14810,15594.79,30398.45,10.20301
Mature economies,2005,4,12380.5,14333,16103.71,32189.35,10.37613
Mature economies,2008,4,11597,13062,16623.21,33617.43,10.70997
Sub-Saharan Africa,2003,4,482.25,633,868.2699,1354.895,7.164976
Sub-Saharan Africa,1994,4,296.25,490,337.1974,688.7587,10.11863
Sub-Saharan Africa,1998,4,327,500,462.8125,825.3719,11.62116
Sub-Saharan Africa,2003,4,419.25,562,594.0314,944.9492,13.3956
Sub-Saharan Africa,2009,4,505.25,674,640.683,1084.894,15.51526
Other Asia,1988,4,379,444,637.7204,723.0073,100.0623
Other Asia,1995,4,399.25,503,679.7462,829.8447,112.6455
Other Asia,2000,4,412.75,519,685.3436,969.785,124.8034
Other Asia,2005,4,460.25,579,770.0102,1164.596,136.5148
Other Asia,2010,4,503.25,620,944.2427,1488.287,145.4783
Mature economies,1989,4,5688,6203,4605.633,8135.713,8.981446
Mature economies,1994,4,3256.75,3581,3475.25,6619.904,8.472313
Mature economies,1997,4,1628.5,1864,3107.923,6188.838,8.256786
Mature economies,2003,4,2164.25,2473,4767.697,8547.487,7.823557
Mature economies,2007,4,2962.5,3284,6625.671,11238.41,7.623395
"Russia, C. Asia, SE Europe",2007,4,4647,5695,5676.869,7198.19,3.774164
"Russia, C. Asia, SE Europe",1993,4,2272.5,2452,2102.666,5283.922,10.239
"Russia, C. Asia, SE Europe",1998,4,1881.75,2167,2148.884,5277.205,10.069
"Russia, C. Asia, SE Europe",2002,4,2709.5,3042,3337.378,6443.088,9.873968
L. America & Carib.,1993,4,1535.5,2915,3616.19,5071.472,0.205
L. America & Carib.,1998,4,1326.25,2297,3363.584,4787.555,0.2385
L. America & Carib.,1990,4,1473.75,1989,1888.57,3074.127,6.36347
L. America & Carib.,1993,4,1419.25,2435,1947.579,3199.234,7.138204
L. America & Carib.,1997,4,1460.5,2564,2055.116,3511.608,7.971237
L. America & Carib.,2002,4,1238.5,2202,2121.047,3571.294,8.815911
L. America & Carib.,2008,4,1566.25,2572,2362.293,4172.334,9.618466
L. America & Carib.,1988,4,1528.25,3069,3701.521,7519.343,144.4704
L. America & Carib.,1993,4,1366.5,2654,3706.935,7232.882,156.9858
L. America & Carib.,1998,4,1892,3643,4233.568,7787.395,169.4097
L. America & Carib.,2003,4,1855.5,3374,4402.188,7990.104,181.6331
L. America & Carib.,2008,4,2557.5,4269,5091.564,9583.866,191.5432
L. America & Carib.,1996,4,10738.25,14330,7748.7,15826.28,0.265941
Other Asia,2003,4,759.5,1143,1241.482,3128.845,0.624431
Other Asia,2007,4,1063.25,1362,1343.761,4198.605,0.701363
Sub-Saharan Africa,1993,4,764,1533,1932.32,7188.371,1.506037
Sub-Saharan Africa,1992,4,149,297,565.6217,725.9834,3.165869
Sub-Saharan Africa,2003,4,365.5,501,530.1516,671.1033,3.890075
Sub-Saharan Africa,2008,4,351.25,615,547.9058,699.5005,4.237961
Mature economies,1987,4,12424.5,14401,13931.71,26127.94,26.895
Mature economies,1994,4,12760.25,14694,14533.48,27243.91,28.83341
Mature economies,2000,4,13332,15393,16750.73,32446.79,30.2479
Mature economies,2004,4,14106,16556,18159.35,34343.67,31.676
Mature economies,2008,4,18856.75,21807,20279.18,35948.06,33.3191
Mature economies,1994,4,15435.75,17952,18250.74,32118.1,6.938265
Mature economies,2000,4,14767.5,17833,19631.14,34713.24,7.110001
Mature economies,2004,4,15174.25,17776,20017.94,35087.45,7.339001
Mature economies,2008,4,16376.5,22084,20714.3,38159.63,7.647675
L. America & Carib.,1987,4,1616.25,2939,3125.491,5939.544,12.73341
L. America & Carib.,1992,4,2124.25,3738,4269.229,8107.675,13.92939
L. America & Carib.,1998,4,2730.25,4869,6012.708,10905.75,15.03916
L. America & Carib.,2003,4,2828.75,4939,6384.96,11697.67,15.95979
L. America & Carib.,2009,4,3573.75,5924,8226.071,13832.49,16.79559
China,1987,4,437.75,493,452.4019,958.3701,1101.63
China,1993,4,460.75,589,649.8622,1507.322,1178.44
China,1998,4,674.75,853,895.1902,2325.093,1241.935
China,2001,4,707,995,1079.549,2867.961,1288.4
China,2007,4,1441.25,2088,1621.818,5238.677,1324.655
Sub-Saharan Africa,1988,4,950.75,1190,1144.822,2008.5,11.69432
Sub-Saharan Africa,1993,4,822.5,1043,961.8721,1723.619,13.82023
Sub-Saharan Africa,1998,4,758,1063,1153.642,1932.857,15.87856
Sub-Saharan Africa,2002,4,796,1213,1030.546,1722.191,17.4555
Sub-Saharan Africa,2008,4,795.5,1052,1012.668,1657.088,18.98701
Sub-Saharan Africa,1996,4,723.25,981,975.1477,1693.473,14.9762
Sub-Saharan Africa,2001,4,999,1338,1133.641,1893.254,16.78337
Sub-Saharan Africa,2007,4,1052.5,1386,1327.882,2029.386,18.75878
Sub-Saharan Africa,2005,4,183.75,261,158.4351,276.9935,54.09825
Sub-Saharan Africa,2008,4,125,179,156.2645,303.1931,62.4749
Sub-Saharan Africa,2005,4,432.25,649,702.312,3381.188,3.365171
L. America & Carib.,1988,4,1734.25,2785,3809.665,5784.036,31.91325
L. America & Carib.,1992,4,1791,2870,3921.717,6303.646,35.14622
L. America & Carib.,1999,4,1368.75,2443,3944.932,6445.909,38.4391
L. America & Carib.,2003,4,1151,2003,4158.691,6830.741,41.73191
L. America & Carib.,2008,4,1729.25,3019,4900.486,8250.394,45.00578
Sub-Saharan Africa,2004,4,523.25,1133,766.3553,1037.64,0.609271
Sub-Saharan Africa,2001,4,915.5,1455,1173.076,2280.345,0.460031
L. America & Carib.,1989,4,1788.75,2403,4005.901,6159.137,2.916566
L. America & Carib.,1993,4,2108.25,2892,4650.566,6973.318,3.303412
L. America & Carib.,1998,4,2511.5,3502,5145.337,7738.63,3.740578
L. America & Carib.,2003,4,2565,3809,5140.993,8483.319,4.160438
L. America & Carib.,2008,4,2971,4512,5977.635,10391.86,4.522124
Mature economies,1990,4,5230.75,6221,6925.127,18091.32,0.736531
Mature economies,1996,4,5499,6307,9042.015,20147.55,0.908059
Mature economies,2008,4,7260,8299,12801.44,26456.16,1.077001
Mature economies,1993,4,4419.25,5143,6511.183,14537.22,10.32986
Mature economies,1996,4,5241.5,5944,8056.019,16480.15,10.29437
Mature economies,2002,4,5744.5,6484,8934.317,18382.84,10.20736
Mature economies,2008,4,6014.5,6679,10969.97,24359.49,10.42434
Mature economies,1989,4,12306.75,13913,14466.11,24801.77,78.14462
Mature economies,1994,4,11688.25,13347,16059.07,27431.27,81.15636
Mature economies,1998,4,12136.25,13757,16740.33,28916.54,82.04719
Mature economies,2005,4,13773.25,16340,17669.6,31114.53,82.53418
Mature economies,2008,4,13107.75,15288,18087.38,33828.88,82.1101
M. East & N. Africa,2002,4,865,1122,922.7839,1758.414,0.77964
Mature economies,1987,4,11440.25,12610,12008.44,25000.28,5.129516
Mature economies,1992,4,11359.75,12325,12317.13,26127.51,5.188628
Mature economies,1997,4,11367.25,12385,13644.27,29481.61,5.304219
Mature economies,2004,4,13247.25,14526,14620.07,32490.37,5.390574
Mature economies,2008,4,12423,14047,15882.46,34123.02,5.493621
L. America & Carib.,1986,4,1184,1687,2411.365,3750.344,6.907171
L. America & Carib.,1992,4,1713,2732,2880.234,4110.206,7.631076
L. America & Carib.,1997,4,2241,3311,3400.485,5029.609,8.32468
L. America & Carib.,2003,4,1759.25,2831,3836.836,5936.133,8.995398
L. America & Carib.,2008,4,1957,2984,5598.259,7727.969,9.664948
M. East & N. Africa,1988,4,1136.5,1512,1913.796,6212.728,24.03524
M. East & N. Africa,1995,4,1183.5,1441,1675.009,5625.911,27.1699
L. America & Carib.,1987,4,1550.25,2284,2970.748,5172.474,9.792658
L. America & Carib.,1994,4,1346,2184,3002.291,5574.905,10.95318
L. America & Carib.,1998,4,1344,1980,3155.313,5766.401,11.95959
L. America & Carib.,2003,4,1472.5,2464,3359.626,5848.516,12.98799
L. America & Carib.,2008,4,1986,3054,4014.424,7127.987,14.05674
M. East & N. Africa,1990,4,993.75,1211,1977.997,3237.323,54.43372
M. East & N. Africa,1995,4,972,1174,2164.046,3504.035,60.02042
M. East & N. Africa,1999,4,1076.5,1346,2343.407,4000.799,65.3092
M. East & N. Africa,2004,4,1094.5,1350,2494.902,4378.551,71.49843
M. East & N. Africa,2008,4,1129.75,1368,2927.243,5216.092,78.3233
Mature economies,1990,4,6006,7030,11104.36,19776.66,38.71585
Mature economies,1995,4,7166.25,8706,11614.62,21021.83,39.1894
Mature economies,2000,4,9137,10976,13890.95,25147.13,39.72111
Mature economies,2005,4,8625,10210,15291.83,27392.04,42.00452
Mature economies,2008,4,9556.5,10725,15591.52,28353.04,45.55572
Mature economies,1993,4,2524.5,3287,3123.149,7427.316,1.494128
Mature economies,1998,4,2764.25,3481,4789.078,10397.02,1.386156
Mature economies,2008,4,5344.75,6151,9569.607,18941.29,1.340675
Sub-Saharan Africa,1995,4,398.75,544,308.3916,485.483,53.50221
Sub-Saharan Africa,1999,4,432.25,513,318.6876,510.418,62.17417
Sub-Saharan Africa,2005,4,520.75,617,441.7157,636.0687,70.78401
Mature economies,1987,4,8609.5,9268,10371.71,21054.04,4.946481
Mature economies,1991,4,9723,10592,10854.11,21634.1,5.066447
Mature economies,1998,4,9460,10807,11803.93,25085.19,5.153498
Mature economies,2004,4,11187.5,12873,14018.21,29940.15,5.213014
Mature economies,2008,4,11285.5,12838,15634.43,33443.05,5.313399
Other Asia,2002,4,773.25,1092,1845.041,4067.534,0.817339
Other Asia,2008,4,1209,1692,3050.746,4300.332,0.843651
Mature economies,1989,4,9239.25,10674,13408.87,23768,57.66893
Mature economies,1995,4,11919.25,13778,13952.3,25234.38,59.06559
Mature economies,2000,4,10672,12450,15433.54,28209.95,60.29915
Mature economies,2005,4,12527,14615,16468.73,29452.67,62.24227
Mature economies,2008,4,13552.25,16229,16957.08,30271.66,64.37052
Sub-Saharan Africa,2005,4,1330.75,1803,2503.642,13014.26,1.317484
